Old stable ID, New stable ID, Release, Mapping score
ENSG00000239235.1, ENSG00000239235.2, 58, 1
ENSG00000239235.2, ENSG00000239235.3, 62, 0.978587
ENSG00000239235.3, <retired>, 73, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000250999.1, ENSG00000250999.1, 92, 0.72
ENSG00000250999.1, ENSG00000250999.2, 97, 0.824156
ENSG00000250999.2, ENSG00000250999.2, 98, 0.9
ENSG00000250999.2, ENSG00000250999.2, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000253965.1, ENSG00000253965.1, 92, 0.72
ENSG00000253965.1, ENSG00000253965.1, 98, 0.9
ENSG00000253965.1, ENSG00000253965.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000264950.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000266057.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000232555.1, ENSG00000232555.2, 97, 0.432275
ENSG00000232555.2, ENSG00000232555.2, 98, 0.9
ENSG00000232555.2, ENSG00000232555.2, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000234884.1, ENSG00000234884.1, 92, 0.72
ENSG00000234884.1, ENSG00000234884.2, 97, 0.846253
ENSG00000234884.2, ENSG00000234884.2, 98, 0.9
ENSG00000234884.2, ENSG00000234884.2, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000258334.1, ENSG00000258334.1, 92, 0.72
ENSG00000258334.1, ENSG00000258334.1, 98, 0.9
ENSG00000258334.1, ENSG00000258334.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000259680.1, ENSG00000259680.2, 66, 0.909802
ENSG00000259680.2, ENSG00000259680.3, 67, 0.785141
ENSG00000259680.3, ENSG00000259680.4, 72, 0.846136
ENSG00000259680.4, ENSG00000259680.5, 76, 0.984766

Old stable ID, New stable ID, Release, Mapping score
ENSG00000225084.1, ENSG00000225084.1, 92, 0.72
ENSG00000225084.1, ENSG00000225084.1, 98, 0.9
ENSG00000225084.1, ENSG00000225084.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000233693.1, ENSG00000233693.1, 92, 0.72
ENSG00000233693.1, ENSG00000233693.1, 98, 0.9
ENSG00000233693.1, ENSG00000233693.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000255026.1, ENSG00000255026.1, 92, 0.72
ENSG00000255026.1, ENSG00000255026.1, 98, 0.9
ENSG00000255026.1, ENSG00000255026.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000224016.1, ENSG00000224016.2, 58, 0.974874

Old stable ID, New stable ID, Release, Mapping score
ENSG00000265341.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000251185.1, ENSG00000251185.1, 98, 0.9
ENSG00000251185.1, ENSG00000251185.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000265286.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000257225.1, ENSG00000257225.1, 92, 0.72
ENSG00000257225.1, ENSG00000257225.1, 98, 0.9
ENSG00000257225.1, ENSG00000257225.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000239087.1, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000203546.1, ENSG00000203546.2, 62, 0.00611209
ENSG00000203546.2, ENSG00000203546.3, 63, 0.605295
ENSG00000203546.3, ENSG00000203546.4, 76, 1
ENSG00000203546.4, ENSG00000203546.5, 77, 1
ENSG00000203546.5, ENSG00000203546.6, 79, 1
ENSG00000203546.6, ENSG00000203546.7, 81, 1

Old stable ID, New stable ID, Release, Mapping score
ENSG00000268585.1, <retired>, 76, 0
ENSG00000268585.1, ENSG00000237528.1, 76, 1

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000263757.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000268526.1, ENSG00000268526.2, 71, 1
ENSG00000268526.2, ENSG00000213924.3, 76, 1
ENSG00000268526.2, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000232211.1, ENSG00000232211.1, 98, 0.9
ENSG00000232211.1, ENSG00000232211.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000006074.1, ENSG00000006074.1, 3, 0
ENSG00000006074.1, ENSG00000006074.2, 26, 0
ENSG00000006074.2, ENSG00000006074.3, 56, 0.802122
ENSG00000006074.3, ENSG00000006074.4, 69, 0.937472
ENSG00000006074.4, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000228553.1, ENSG00000228553.1, 92, 0.72
ENSG00000228553.1, ENSG00000228553.1, 98, 0.9
ENSG00000228553.1, ENSG00000228553.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000253275.1, ENSG00000253275.1, 98, 0.9
ENSG00000253275.1, ENSG00000253275.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000262263.1, ENSG00000262263.2, 68, 0.994802
ENSG00000262263.2, ENSG00000127952.13, 76, 1
ENSG00000262263.2, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000266488.1, ENSG00000266488.2, 72, 0.863806

Old stable ID, New stable ID, Release, Mapping score
ENSG00000227885.1, ENSG00000227885.2, 94, 0.500589
ENSG00000227885.2, ENSG00000227885.3, 97, 0.675586
ENSG00000227885.3, ENSG00000227885.3, 98, 0.9
ENSG00000227885.3, ENSG00000227885.3, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000234953.1, ENSG00000234953.2, 56, 0.755232
ENSG00000234953.2, ENSG00000234953.2, 92, 0.72
ENSG00000234953.2, ENSG00000234953.2, 98, 0.9
ENSG00000234953.2, ENSG00000234953.2, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000239196.1, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000252638.1, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000251112.1, ENSG00000251112.2, 70, 0.992089

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000248188.1, ENSG00000248188.2, 70, 0.997416

Old stable ID, New stable ID, Release, Mapping score
ENSG00000244186.1, <retired>, 74, 0

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000207812.1, ENSG00000207812.2, 44, 0.994845
ENSG00000207812.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000257277.1, ENSG00000257277.1, 92, 0.72
ENSG00000257277.1, ENSG00000257277.2, 97, 0.78887
ENSG00000257277.2, ENSG00000257277.2, 98, 0.9
ENSG00000257277.2, ENSG00000257277.2, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000257937.1, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000257837.1, ENSG00000257837.1, 98, 0.9
ENSG00000257837.1, ENSG00000257837.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000221637.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000266491.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238340.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000241828.1, ENSG00000241828.2, 70, 0.99848

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238602.1, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000259720.1, ENSG00000259720.1, 92, 0.72
ENSG00000259720.1, ENSG00000259720.2, 97, 0.766344
ENSG00000259720.2, ENSG00000259720.2, 98, 0.9
ENSG00000259720.2, ENSG00000259720.2, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000254434.1, ENSG00000254434.1, 98, 0.9
ENSG00000254434.1, ENSG00000254434.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000268811.1, <retired>, 76, 0
ENSG00000268811.1, ENSG00000236423.2, 76, 1

Old stable ID, New stable ID, Release, Mapping score
ENSG00000212939.1, ENSG00000212939.2, 55, 0.176966
ENSG00000212939.2, ENSG00000212939.2, 77, 0.9
ENSG00000212939.2, ENSG00000212939.2, 98, 0.9
ENSG00000212939.2, ENSG00000212939.2, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000266918.1, ENSG00000266918.1, 85, 0.72

Old stable ID, New stable ID, Release, Mapping score
ENSG00000259589.1, ENSG00000259589.2, 73, 0.970061
ENSG00000259589.2, ENSG00000259589.2, 92, 0.72
ENSG00000259589.2, ENSG00000259589.2, 98, 0.9
ENSG00000259589.2, ENSG00000259589.2, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000267180.1, ENSG00000267180.1, 76, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000268370.1, <retired>, 76, 0
ENSG00000268370.1, ENSG00000232042.1, 76, 1

Old stable ID, New stable ID, Release, Mapping score
ENSG00000250698.1, ENSG00000250698.1, 92, 0.72
ENSG00000250698.1, ENSG00000250698.1, 98, 0.9
ENSG00000250698.1, ENSG00000250698.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000215565.1, ENSG00000215565.2, 50, 0.649895
ENSG00000215565.2, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000260971.1, ENSG00000260971.2, 72, 0.99963
ENSG00000260971.2, ENSG00000260971.3, 74, 0.99963
ENSG00000260971.3, ENSG00000260971.4, 90, 0.498069
ENSG00000260971.4, ENSG00000260971.4, 98, 0.9
ENSG00000260971.4, ENSG00000260971.4, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000267009.1, ENSG00000267009.2, 74, 0.84047
ENSG00000267009.2, ENSG00000267009.3, 76, 1
ENSG00000267009.3, ENSG00000267009.4, 77, 1
ENSG00000267009.4, ENSG00000267009.5, 79, 1
ENSG00000267009.5, ENSG00000267009.6, 81, 1
ENSG00000267009.6, ENSG00000267009.6, 98, 0.9
ENSG00000267009.6, ENSG00000267009.6, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237633.1, ENSG00000237633.2, 71, 0.951969
ENSG00000237633.2, ENSG00000237633.2, 92, 0.72
ENSG00000237633.2, ENSG00000237633.3, 94, 0.843196
ENSG00000237633.3, ENSG00000237633.4, 97, 0.973035
ENSG00000237633.4, ENSG00000237633.4, 98, 0.9
ENSG00000237633.4, ENSG00000237633.4, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237697.1, ENSG00000237697.2, 67, 0.784384
ENSG00000237697.2, <retired>, 79, 0

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000258345.1, ENSG00000258345.1, 92, 0.72
ENSG00000258345.1, ENSG00000258345.1, 98, 0.9
ENSG00000258345.1, ENSG00000258345.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000259003.1, ENSG00000259003.1, 77, 0.72
ENSG00000259003.1, ENSG00000259003.1, 98, 0.9
ENSG00000259003.1, ENSG00000259003.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000228538.1, ENSG00000228538.2, 76, 1
ENSG00000228538.2, ENSG00000228538.3, 77, 1
ENSG00000228538.3, ENSG00000228538.4, 79, 1
ENSG00000228538.4, ENSG00000228538.5, 81, 1
ENSG00000228538.5, ENSG00000228538.6, 94, 0.93122
ENSG00000228538.6, ENSG00000228538.7, 97, 0.850649
ENSG00000228538.7, ENSG00000228538.7, 98, 0.9
ENSG00000228538.7, ENSG00000228538.7, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000260310.1, ENSG00000260310.1, 98, 0.9
ENSG00000260310.1, ENSG00000260310.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238806.1, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000267521.1, ENSG00000267521.1, 98, 0.9
ENSG00000267521.1, ENSG00000267521.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000265012.1, ENSG00000265012.2, 76, 1
ENSG00000265012.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000227017.1, ENSG00000227017.1, 98, 0.9
ENSG00000227017.1, ENSG00000227017.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000227045.1, ENSG00000227045.1, 92, 0.72
ENSG00000227045.1, ENSG00000227045.1, 98, 0.9
ENSG00000227045.1, ENSG00000227045.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000260892.1, ENSG00000260892.1, 92, 0.72
ENSG00000260892.1, ENSG00000260892.1, 98, 0.9
ENSG00000260892.1, ENSG00000260892.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000269838.1, <retired>, 76, 0
ENSG00000269838.1, ENSG00000196406.4, 76, 1

Old stable ID, New stable ID, Release, Mapping score
ENSG00000260077.1, ENSG00000260077.1, 98, 0.9
ENSG00000260077.1, ENSG00000260077.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000266954.1, ENSG00000266954.1, 92, 0.72
ENSG00000266954.1, ENSG00000266954.1, 98, 0.9
ENSG00000266954.1, ENSG00000266954.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000268155.1, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000251780.1, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000267774.1, ENSG00000267774.2, 76, 0.714153
ENSG00000267774.2, ENSG00000267774.2, 92, 0.72
ENSG00000267774.2, ENSG00000267774.2, 98, 0.9
ENSG00000267774.2, ENSG00000267774.2, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000225318.1, <retired>, 70, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000264852.1, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000239665.1, ENSG00000239665.2, 70, 0.663704
ENSG00000239665.2, ENSG00000239665.3, 72, 0.985291
ENSG00000239665.3, ENSG00000239665.4, 74, 0.920988
ENSG00000239665.4, ENSG00000239665.5, 76, 0.868974
ENSG00000239665.5, ENSG00000239665.6, 77, 0.991766
ENSG00000239665.6, ENSG00000239665.7, 79, 0.998651
ENSG00000239665.7, ENSG00000239665.8, 81, 0.951912
ENSG00000239665.8, ENSG00000239665.8, 98, 0.927122
ENSG00000239665.8, ENSG00000239665.8, 99, 0.927122

Old stable ID, New stable ID, Release, Mapping score
ENSG00000256928.1, ENSG00000256928.1, 92, 0.72
ENSG00000256928.1, ENSG00000256928.1, 98, 0.9
ENSG00000256928.1, ENSG00000256928.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000267018.1, ENSG00000267018.2, 76, 0.904511
ENSG00000267018.2, <retired>, 77, 0

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000257715.1, ENSG00000257715.1, 92, 0.72
ENSG00000257715.1, ENSG00000257715.1, 98, 0.9
ENSG00000257715.1, ENSG00000257715.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000256690.1, ENSG00000256690.1, 92, 0.72
ENSG00000256690.1, ENSG00000256690.1, 98, 0.9
ENSG00000256690.1, ENSG00000256690.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000264890.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000251085.1, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000260457.1, ENSG00000260457.2, 68, 0.995165
ENSG00000260457.2, ENSG00000260457.2, 98, 0.9
ENSG00000260457.2, ENSG00000260457.2, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000258375.1, ENSG00000258375.2, 70, 0.996889

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000260771.1, ENSG00000260771.1, 98, 0.9
ENSG00000260771.1, ENSG00000260771.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000267588.1, ENSG00000267588.2, 73, 0.972833
ENSG00000267588.2, ENSG00000267588.3, 76, 0.969463
ENSG00000267588.3, ENSG00000267588.4, 77, 1
ENSG00000267588.4, <retired>, 79, 0

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000223070.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000262208.1, <retired>, 76, 0
ENSG00000262208.1, ENSG00000114378.13, 76, 1

Old stable ID, New stable ID, Release, Mapping score
ENSG00000269536.1, <retired>, 76, 0
ENSG00000269536.1, ENSG00000229015.1, 76, 1

Old stable ID, New stable ID, Release, Mapping score
ENSG00000268816.1, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000265497.1, ENSG00000265497.2, 71, 0.871262
ENSG00000265497.2, ENSG00000233029.3, 76, 1
ENSG00000265497.2, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000259468.1, ENSG00000259468.1, 92, 0.72
ENSG00000259468.1, ENSG00000259468.1, 98, 0.9
ENSG00000259468.1, ENSG00000259468.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
